"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Got11",4.48681392484699e-16,0.589345895353368,0.776,0.445,7.51227255437131e-12,"1","Got1"
"Oxct1",4.59371742462441e-16,0.327597013517607,0.484,0.317,7.69126108404865e-12,"1","Oxct1"
"Calm3",5.36048703738979e-16,0.304415738379292,0.819,0.699,8.97506344670173e-12,"1","Calm3"
"Eif3a",6.09194924807476e-16,0.295237595855066,0.907,0.763,1.01997506260516e-11,"1","Eif3a"
"Dync1h1",6.78943727364347e-16,0.321956446330523,0.737,0.563,1.13675548272613e-11,"1","Dync1h1"
"Eif1ax",8.39185365973933e-16,0.281409825082306,0.577,0.447,1.40504805825016e-11,"1","Eif1ax"
"Pfkfb3",8.68857998621894e-16,0.369141000621561,0.464,0.227,1.45472894709264e-11,"1","Pfkfb3"
"Snx51",1.00285012849197e-15,0.428221229705759,0.85,0.657,1.6790719701341e-11,"1","Snx5"
"Ikbke",1.03189960582398e-15,0.334828331461732,0.347,0.13,1.72770951003109e-11,"1","Ikbke"
"Ric1",1.46286202617625e-15,0.337891947612909,0.465,0.245,2.4492698904269e-11,"1","Ric1"
"Actn4",1.47029338629827e-15,0.294406112456496,0.599,0.448,2.4617122166792e-11,"1","Actn4"
"Slc25a37",1.6624280184057e-15,0.302865004103056,0.343,0.171,2.78340323121666e-11,"1","Slc25a37"
"Ncl",2.22058796899406e-15,0.374447686375613,0.91,0.762,3.71793043648676e-11,"1","Ncl"
"Copz1",2.92259188619382e-15,0.302769515679604,0.616,0.459,4.89329559505431e-11,"1","Copz1"
"Tap2",3.27183355864536e-15,0.337890762215341,0.663,0.479,5.47803092723993e-11,"1","Tap2"
"Esyt1",4.04543678029363e-15,0.274746215698149,0.588,0.426,6.77327480124562e-11,"1","Esyt1"
"Mbnl2",4.24038477350959e-15,0.441435152336566,0.831,0.629,7.09967622628711e-11,"1","Mbnl2"
"St6galnac4",5.00040095752189e-15,0.264045157605335,0.354,0.197,8.3721713231789e-11,"1","St6galnac4"
"Ccdc71l",5.3113121150811e-15,0.366189051422932,0.509,0.302,8.89272987428028e-11,"1","Ccdc71l"
"Tma16",6.0638615580397e-15,0.25488717030786,0.281,0.131,1.01527234066259e-10,"1","Tma16"
"Tceal9",6.43069976441819e-15,0.271684087590912,0.405,0.242,1.07669206155654e-10,"1","Tceal9"
"Olfml31",7.07015077971621e-15,0.34981899321109,0.396,0.16,1.18375534504789e-10,"1","Olfml3"
"Fam102b",7.53380737746482e-15,0.356289009822118,0.575,0.384,1.26138536920893e-10,"1","Fam102b"
"Emc1",8.1357990600392e-15,0.272781301699216,0.4,0.229,1.36217683662236e-10,"1","Emc1"
"Eea1",8.46104514349226e-15,0.350106594420346,0.536,0.336,1.41663278837491e-10,"1","Eea1"
"Atp6v1h",8.93145431604945e-15,0.351966914090119,0.538,0.362,1.49539339613616e-10,"1","Atp6v1h"
"Por",1.09665278937457e-14,0.466063830272066,0.622,0.375,1.83612576524984e-10,"1","Por"
"Snx8",1.19157560224309e-14,0.282072961176613,0.305,0.115,1.99505503083561e-10,"1","Snx8"
"Mapre2",1.3316205899765e-14,0.26956830534906,0.556,0.416,2.22953235379766e-10,"1","Mapre2"
"Atp5pb",1.55674355828363e-14,0.568384472971594,0.877,0.55,2.60645573963428e-10,"1","Atp5pb"
"Aga",1.68155466049491e-14,0.259909641383268,0.352,0.197,2.81542696806663e-10,"1","Aga"
"Slc30a1",1.69960726344003e-14,0.519243809912838,0.457,0.248,2.84565244117764e-10,"1","Slc30a1"
"Lman1",1.71119034451052e-14,0.260741058128985,0.465,0.315,2.86504599381396e-10,"1","Lman1"
"Hpf1",1.92156850351848e-14,0.345099567752489,0.551,0.358,3.21728214544098e-10,"1","Hpf1"
"Eif3b",2.16206370411393e-14,0.262379296445685,0.557,0.407,3.61994325979795e-10,"1","Eif3b"
"Ctsh1",2.37151029557382e-14,0.259252207022484,0.942,0.863,3.97061968787924e-10,"1","Ctsh"
"Slc28a2",2.54180586360423e-14,0.364248106879888,0.317,0.141,4.25574555743256e-10,"1","Slc28a2"
"Rab11a",2.54764681058311e-14,0.274482839151084,0.732,0.594,4.26552505495931e-10,"1","Rab11a"
"Tns3",2.55872308498265e-14,0.433578835834197,0.604,0.333,4.28407006118646e-10,"1","Tns3"
"Nrp1",2.69687934081259e-14,0.395494653208273,0.628,0.408,4.51538508032252e-10,"1","Nrp1"
"Hnrnpm",3.02982870619677e-14,0.312749951280231,0.855,0.712,5.07284220278525e-10,"1","Hnrnpm"
"Elob",3.14472541443603e-14,0.267626478100162,0.888,0.859,5.26521376139024e-10,"1","Elob"
"Cd274",3.24440162183835e-14,0.413162241687609,0.595,0.312,5.43210163544395e-10,"1","Cd274"
"C330007P06Rik",3.78480469131967e-14,0.281489901642037,0.35,0.198,6.33689849467652e-10,"1","C330007P06Rik"
"Psmd4",3.90858913260268e-14,0.291406980179187,0.694,0.581,6.54415078471667e-10,"1","Psmd4"
"Entpd7",4.03889240745466e-14,0.350423337343353,0.452,0.227,6.76231755780134e-10,"1","Entpd7"
"Ddhd1",4.15680406156706e-14,0.290476994570593,0.438,0.306,6.95973704028173e-10,"1","Ddhd1"
"Gnptab",4.58752539229331e-14,0.275146592469163,0.42,0.248,7.68089376431669e-10,"1","Gnptab"
"Parvb",5.72281039936713e-14,0.268655656085115,0.351,0.194,9.58170145166039e-10,"1","Parvb"
"Snx6",6.87039562205696e-14,0.307441963824789,0.603,0.448,1.150310339001e-09,"1","Snx6"
"Frrs1",7.41367624121993e-14,0.261523621066841,0.476,0.336,1.24127181306745e-09,"1","Frrs1"
"Irgm1",7.57823281550422e-14,0.338769036508547,0.566,0.333,1.26882352029987e-09,"1","Irgm1"
"Isg15",8.16356637282813e-14,0.45065855871059,0.801,0.507,1.36682591780261e-09,"1","Isg15"
"Tmem30a",8.18097320779663e-14,0.296966943425802,0.695,0.523,1.36974034418139e-09,"1","Tmem30a"
"Scd2",1.15207319560747e-13,0.314684735219492,0.335,0.183,1.92891615140559e-09,"1","Scd2"
"Gspt1",1.2699865116067e-13,0.250968617988615,0.58,0.424,2.1263384163831e-09,"1","Gspt1"
"Ghitm",1.37447676059566e-13,0.253879683481662,0.704,0.547,2.30128644026531e-09,"1","Ghitm"
"Sestd1",1.37611506923846e-13,0.311739457230465,0.303,0.147,2.30402946042596e-09,"1","Sestd1"
"Rufy3",1.48195065968778e-13,0.293843608471949,0.405,0.199,2.48122998951525e-09,"1","Rufy3"
"Bnip3",1.48848976930313e-13,0.314779015570698,0.295,0.13,2.49217842074422e-09,"1","Bnip3"
"Oasl2",1.80596194356008e-13,0.314690737802999,0.677,0.4,3.02372208210265e-09,"1","Oasl2"
"Mrpl13",2.34436123153985e-13,0.269537676158778,0.445,0.291,3.92516400996718e-09,"1","Mrpl13"
"Ell2",2.79794263404997e-13,0.558818890435921,0.849,0.529,4.68459535218987e-09,"1","Ell2"
"Abi1",2.93773748188186e-13,0.320049406265008,0.814,0.633,4.91865386591479e-09,"1","Abi1"
"Slirp",3.18933768049132e-13,0.26149867834449,0.574,0.431,5.33990807844662e-09,"1","Slirp"
"Irs2",3.25814990034097e-13,0.373975732637291,0.534,0.322,5.45512037814088e-09,"1","Irs2"
"Dazap2",3.84220276572163e-13,0.308832716948204,0.961,0.89,6.43300009064773e-09,"1","Dazap2"
"2900097C17Rik",3.9000008884835e-13,0.458257327759186,0.613,0.32,6.52977148758792e-09,"1","2900097C17Rik"
"Ccl41",3.99319954893313e-13,0.56570116570616,0.621,0.366,6.68581400477873e-09,"1","Ccl4"
"Spred1",5.11463283379197e-13,0.254744456095249,0.494,0.311,8.56342975361790e-09,"1","Spred1"
"Cflar",5.20766008296534e-13,0.386472505374887,0.683,0.51,8.71918527690887e-09,"1","Cflar"
"Rnf19b",5.27333078448489e-13,0.37656191766956,0.781,0.599,8.82913773246306e-09,"1","Rnf19b"
"C3",5.74452480930652e-13,0.683656515125331,0.731,0.552,9.6180578882219e-09,"1","C3"
"Gng12",6.22111844737898e-13,0.40119466268072,0.599,0.341,1.04160186164466e-08,"1","Gng12"
"Igsf81",6.24667870652598e-13,0.266521628438274,0.452,0.305,1.04588141583364e-08,"1","Igsf8"
"Acsl4",7.72602043466297e-13,0.359633432824322,0.495,0.313,1.29356760137562e-08,"1","Acsl4"
"Rin2",1.00358332693698e-12,0.288251645062286,0.503,0.365,1.68029956429059e-08,"1","Rin2"
"Samd8",1.01959228229332e-12,0.273686025594641,0.437,0.27,1.70710335824371e-08,"1","Samd8"
