"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Psma6",6.11619537646357e-55,0.278347645393018,0.729,0.422,1.02067068442424e-50
"Cox20",1.2225705806247e-52,0.278152167191961,0.575,0.289,2.0402257849465e-48
"Mrps18c",4.71070747328126e-55,0.277790531988744,0.623,0.325,7.86122863141176e-51
"Rbx1",1.32284711824599e-67,0.27750531175862,0.945,0.719,2.2075672709289e-63
"Mpc2",1.38036586699166e-58,0.277411788866608,0.919,0.704,2.30355455883568e-54
"Sys1",4.5718004772496e-56,0.276723973579311,0.695,0.377,7.62942063643414e-52
"Naa38",2.12671642813416e-53,0.276692742397666,0.695,0.396,3.54906437527028e-49
"Mtch2",1.24907203807088e-55,0.276648646544188,0.781,0.48,2.08445141713269e-51
"Hsd17b10",2.54381594271733e-49,0.276374204760588,0.839,0.597,4.24512004520669e-45
"Atp5d",4.7417213480525e-71,0.276223833524703,0.98,0.839,7.91298458563001e-67
"Rpl31",3.26629214257035e-75,0.276141692078292,0.993,0.892,5.4507883275214e-71
"Sdhaf4",6.82783640176934e-54,0.276083125603229,0.517,0.242,1.13942933872727e-49
"Cnih1",7.7062018607378e-58,0.275896995753244,0.549,0.254,1.28601096651992e-53
"Fam96a",2.70750203807157e-58,0.275854057899038,0.634,0.322,4.51827940113383e-54
"Rpl13a",4.98239332936255e-75,0.275455692518732,0.999,0.959,8.31461798804022e-71
"Hmgn1",4.55441136707547e-55,0.275422118032756,0.965,0.806,7.60040168937555e-51
"Ube2l3",1.62834432005271e-58,0.27423537221121,0.725,0.401,2.71738100130396e-54
"Sumo2",1.71835490433161e-62,0.27416414689086,0.932,0.697,2.86759066434859e-58
"Serpine2",5.95534040565953e-50,0.273199733401969,0.583,0.292,9.93827206896462e-46
"Slirp",6.57031588118141e-55,0.272607857654191,0.717,0.401,1.09645431425155e-50
"Rgs10",1.9696927392077e-37,0.271926201318969,0.583,0.329,3.28702324318981e-33
"Tpm4",8.43802137403614e-58,0.271839714318229,0.834,0.532,1.40813700689915e-53
"Pgls",6.28952070130078e-53,0.271779897605053,0.717,0.415,1.04959521463307e-48
