"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc25a4",1.97697104790419e-21,0.717625485682752,0.59,0.654,3.29916928474252e-17
"Vamp5",8.21431458793981e-19,0.716730623288593,0.377,0.392,1.3708048184354e-14
"Mgst3",2.91762840535094e-19,0.713030859820737,0.399,0.413,4.86893828284965e-15
"Dag1",3.03327034307011e-19,0.711479739110964,0.389,0.41,5.06192154851541e-15
"Gpx4",4.32655350321937e-49,0.707463655164885,0.94,0.952,7.22015248617249e-45
"Sox4",6.35198377684365e-14,0.702393395500201,0.404,0.426,1.06001905267967e-09
"Ndufb7",1.1211431774205e-15,0.69627851765802,0.608,0.691,1.87096373447934e-11
"Arglu1",4.59433295256301e-17,0.696224996893724,0.34,0.337,7.66702283123716e-13
"Arf3",4.23603923560413e-28,0.69579660967816,0.346,0.296,7.06910227637618e-24
"Hmg20b",1.211372041373e-18,0.694846703831689,0.34,0.351,2.02153766264326e-14
"Cxadr",6.48919121122636e-17,0.694371546556065,0.374,0.387,1.08291622932945e-12
"Serpinb6b",3.16668442244797e-14,0.694081637328879,0.489,0.544,5.28456296418117e-10
"S100a10",1.20444073889841e-07,0.689883133345613,0.588,0.713,0.00200997070507367
"Bend7",7.10561975057744e-19,0.689719153797784,0.342,0.33,1.18578582397636e-14
"Rsu1",1.95410487253749e-29,0.687847362545488,0.322,0.262,3.26101021129056e-25
"Cux1",2.85815708265912e-24,0.68722577878688,0.333,0.297,4.76969253954154e-20
"Serf2",8.33586170549195e-19,0.681105345220641,0.84,0.919,1.3910886014125e-14
"Mtdh",1.60515629751451e-16,0.679889785003102,0.441,0.486,2.67868482929222e-12
"Cdc42",1.6396392042946e-15,0.675253602336935,0.592,0.687,2.73622990412683e-11
"Zdhhc20",2.17539458493258e-31,0.674989379774557,0.268,0.187,3.63029848333548e-27
"Myh9",1.31002925513656e-20,0.673901621160488,0.276,0.224,2.18617682097188e-16
"Nt5c",2.10012092476812e-24,0.67132234579378,0.294,0.261,3.50468179925304e-20
"Macf1",5.94268618754974e-24,0.669816467055746,0.292,0.25,9.91715470978301e-20
"Drap1",3.57504351848836e-16,0.668941748166505,0.585,0.669,5.96603262365337e-12
"Fgf1",1.08734966091863e-19,0.666228595153845,0.273,0.242,1.81456911414102e-15
"Ino80e",1.42850042199322e-29,0.665211421040856,0.25,0.184,2.38388150422228e-25
"Nkx2-1",9.30224794161892e-16,0.664482951374244,0.704,0.803,1.55235913649737e-11
"Tprgl",9.45341614342885e-19,0.66209706079747,0.392,0.402,1.57758608601541e-14
"Slc39a8",3.56276229311383e-08,0.660625566996481,0.456,0.573,0.000594553771474837
"Arpp19",3.91206338393661e-11,0.656361001957753,0.542,0.64,6.52845137511341e-07
"Pkp2",2.25456769507825e-26,0.653659696915098,0.268,0.203,3.76242256954659e-22
"Ankrd12",1.13686321857885e-20,0.650083551293954,0.253,0.219,1.89719733916438e-16
"Cxcl16",4.61245820522531e-21,0.650017471985888,0.369,0.332,7.69727025288e-17
"Igfbp6",2.79091330076571e-09,0.648866102729389,0.25,0.262,4.65747611631782e-05
"Pfdn1",7.53359668185696e-12,0.644637698026844,0.505,0.58,1.25720661426829e-07
"Ccnt2",2.68760242584046e-15,0.638029120911964,0.281,0.271,4.48507092824257e-11
"Creb3",9.66460713349541e-20,0.623669280492405,0.309,0.281,1.61282963843771e-15
"Mrpl14",3.53779923184008e-09,0.620010509377894,0.547,0.665,5.90387935809472e-05
"Tmbim1",2.1252492467322e-17,0.618987593575033,0.306,0.281,3.54661594294669e-13
"Ktn1",8.00941544861795e-23,0.618349511469264,0.255,0.199,1.33661125006536e-18
"Tjp1",1.01465391020545e-21,0.614670430117826,0.291,0.242,1.69325444535086e-17
"Abhd17c",2.6623232277932e-26,0.614557323672322,0.276,0.21,4.4428850025413e-22
"Hsbp1",6.80386830608122e-08,0.611147705638931,0.56,0.686,0.00113542954291883
"Chmp2a",8.04377731566286e-10,0.608781328088392,0.575,0.674,1.34234555843782e-05
"Serpinb6a",1.44570436365845e-13,0.607264408132676,0.394,0.426,2.41259144207322e-09
"Bmp4",1.63517502775694e-09,0.602525005970545,0.348,0.413,2.72878008632079e-05
"Bsg",6.78291282476256e-11,0.600464751756624,0.861,0.963,1.13193249219638e-06
"Psap",1.89335516213614e-20,0.592826876784135,0.292,0.236,3.15963109457279e-16
"Srrm2",7.87770276363694e-07,0.591956113975545,0.609,0.746,0.0131463103719573
"Calm1",4.03979388158259e-13,0.591721257460912,0.882,0.952,6.74160802958503e-09
"Fermt2",2.63218462875972e-10,0.583210915032997,0.356,0.393,4.39258970847422e-06
"Zbtb20",9.1915741064472e-05,0.582429591855846,0.381,0.485,1
"Ypel3",2.18923754966964e-10,0.581018272966688,0.498,0.581,3.65339962288869e-06
