"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zbtb20",1.58575116077346e-155,0.792525001417633,0.318,0.248,2.87353967843759e-151
"Lsm4",1.3996714081966e-122,0.791614792594256,0.5,0.579,2.53634455879306e-118
"Cdc42ep3",1.06807714382294e-193,0.790926571631415,0.382,0.278,1.93546259232154e-189
"Arhgef1",2.37964184444355e-154,0.790571414871557,0.459,0.466,4.31214898631616e-150
"Lsm5",3.2041377035669e-149,0.78958206163616,0.408,0.432,5.80621793263358e-145
"Tbca",4.10399339312553e-168,0.7869098709553,0.669,0.716,7.43684642768278e-164
"Eif3g",7.44158662323696e-134,0.784648466137128,0.44,0.495,1.34848991199677e-129
"Rpl38",0,0.777718295745198,0.996,0.958,0
"Btg1",0,0.775990875139985,0.982,0.979,0
"Pnisr",7.78919034005833e-124,0.775420830838788,0.479,0.538,1.41147918152197e-119
"Vps37b",1.55912067854324e-125,0.773671212545588,0.435,0.397,2.8252825815882e-121
"Cdc37",2.23268619924158e-119,0.773542061962349,0.499,0.588,4.04585066164567e-115
"Cysltr1",1.26984016342386e-137,0.773492710441423,0.297,0.269,2.30107736014038e-133
"Elovl5",5.53078319810423e-149,0.773211194265825,0.317,0.293,1.00223322332847e-144
"Zfp36l2",7.20434677478994e-198,0.770787065078402,0.817,0.819,1.30549967905968e-193
"Snrpd2",1.26885757962691e-120,0.769634834422416,0.547,0.635,2.29929682004193e-116
"Rpl39",0,0.768131097087497,0.997,0.95,0
"Myl12a",6.59852013458768e-164,0.766663587381393,0.755,0.81,1.19571783358863e-159
"Hypk",1.26860215461554e-147,0.762568978450511,0.33,0.325,2.29883396437882e-143
"Vars",1.65256179312355e-167,0.762334365133688,0.274,0.224,2.99460722531918e-163
"Eif3f",3.46029934965425e-244,0.761586305197596,0.843,0.839,6.27040845150846e-240
"Rnf187",7.32373221827803e-121,0.759263843584635,0.398,0.456,1.32713351527416e-116
"Cetn2",3.64697192708329e-145,0.758765534681743,0.293,0.279,6.60867782906763e-141
"Rsrp1",1.59225710117144e-105,0.758391098219963,0.649,0.751,2.88532909303277e-101
"Rps24",0,0.755560909488684,0.999,0.982,0
"Capns1",1.97671956117389e-116,0.751876501893227,0.663,0.765,3.58201351680321e-112
"Grcc10",1.42520870536714e-165,0.750466898050526,0.262,0.211,2.5826206949958e-161
"Itm2b",0,0.750006704198314,0.999,0.98,0
"Aff4",9.59293236688409e-120,0.749318633021058,0.48,0.529,1.73833527420307e-115
"Use1",9.44946061161262e-104,0.746636196051342,0.524,0.622,1.71233675743032e-99
"Lpcat2",7.90667871104438e-110,0.746571232461083,0.493,0.521,1.43276924922835e-105
"Rpl34",0,0.745879083079372,0.997,0.964,0
"S100a13",5.64753134420519e-118,0.745307159429879,0.598,0.684,1.02338915488342e-113
"Cnn2",2.41663634696069e-131,0.744425771363318,0.488,0.492,4.37918672432746e-127
"Phlda1",2.66257052768697e-31,0.744057205035855,0.284,0.351,4.82484405322155e-27
"Atp5b",6.92338416662049e-173,0.743241285673535,0.799,0.838,1.2545864448333e-168
"Rps25",0,0.742340623949825,0.994,0.962,0
"Spty2d1",8.80588474282467e-57,0.738872347829665,0.442,0.556,1.59571437424726e-52
"Ddx5",0,0.733250271882198,0.973,0.976,0
"Rsbn1l",2.44440303642903e-122,0.73230753624467,0.343,0.357,4.42950274231305e-118
"Aldoa",1.22911176785964e-201,0.727266268765757,0.81,0.824,2.22727343453846e-197
"Skp1a",1.64282466988673e-106,0.723374983111695,0.373,0.422,2.97696258430174e-102
"Ncor1",4.01796238159491e-112,0.722541154757864,0.618,0.71,7.28094963168814e-108
"Eprs",1.87520207189362e-53,0.716526694032237,0.407,0.493,3.39805367447843e-49
"Rnaset2a",1.89535858188101e-135,0.712916525103577,0.32,0.282,3.43457928622658e-131
"Sumo1",1.40841940323572e-106,0.712536524202734,0.583,0.693,2.55219680060344e-102
"Krtcap2",1.21333737766557e-106,0.707908411902064,0.567,0.646,2.19868866206778e-102
"Nr3c1",3.376958854873e-97,0.706204992222921,0.43,0.488,6.11938714091537e-93
"Rbbp7",4.03884952291093e-120,0.704266412110908,0.306,0.309,7.31879922046689e-116
"Tbrg1",1.82433019549896e-130,0.702204470655172,0.287,0.264,3.30586874726367e-126
"Arpp19",2.4089847237723e-100,0.701344081839042,0.575,0.679,4.36532121794779e-96
"Eif3i",5.33270690443871e-86,0.700759556733447,0.502,0.615,9.66339818153338e-82
"H2-Q4",1.82611035253304e-105,0.700597598283235,0.343,0.355,3.30909456982513e-101
"Tnfaip3",1.08115970865513e-102,0.699911063029688,0.52,0.546,1.95916950805395e-98
"Gpx4",5.71367559207704e-167,0.699623716775452,0.795,0.828,1.03537515404028e-162
"Ttc14",9.03567407836353e-102,0.698335441317923,0.412,0.464,1.63735449974026e-97
"Pnn",5.10596087917102e-101,0.696426324751847,0.384,0.424,9.25251170914581e-97
"Rexo2",3.91409840045833e-91,0.688774071774162,0.48,0.551,7.09273771147054e-87
"Sub1",7.89284733036062e-90,0.68832145770164,0.841,0.9,1.43026286473465e-85
"S100a4",0,0.680544598245424,0.903,0.6,0
"Rps29",0,0.680429404501344,1,0.984,0
"Nt5c",5.92443625687716e-81,0.678665295610778,0.441,0.538,1.07356709410871e-76
"Tmem176a",1.34739233381331e-261,0.67797523050856,0.628,0.419,2.44160964810311e-257
"Rbfa",8.71190389512403e-104,0.67661151349862,0.303,0.333,1.57868410483543e-99
"Klf9",3.92974120546797e-107,0.676417331182258,0.265,0.229,7.12108403842851e-103
"Frmd4b",1.07756886883398e-69,0.672712293573516,0.29,0.32,1.95266254721406e-65
"Mettl23",3.2103016820404e-95,0.670452609712158,0.331,0.379,5.81738767802541e-91
"Lsm8",6.51584981790551e-100,0.669554047392552,0.292,0.318,1.18073714550266e-95
"Pnrc1",1.57215170611893e-79,0.669180021767572,0.713,0.826,2.84889610665812e-75
"Rpl5",0,0.664777567351621,0.972,0.925,0
"Rnaset2b",1.25935971994087e-123,0.664474456444549,0.263,0.228,2.28208574850485e-119
"Ndufa4",1.29790793919377e-151,0.661692761137318,0.756,0.767,2.35193897661302e-147
"Eml4",1.46363344030618e-116,0.660733477986719,0.274,0.258,2.65225015717883e-112
"Emc10",1.80139441577204e-80,0.660331489265216,0.359,0.436,3.26430682082051e-76
"Nudcd3",8.10818904595964e-109,0.657156431566418,0.266,0.263,1.46928493701835e-104
"Rps13",0,0.655134140429587,0.997,0.968,0
"Wls",2.34533976176301e-97,0.653240586240385,0.303,0.319,4.24999018229075e-93
"Kcnn4",2.64605868364256e-119,0.648382000925443,0.259,0.213,4.79492294062869e-115
"Chd2",1.77370981090618e-82,0.647014466012291,0.328,0.354,3.21413954834308e-78
"Cox6a1",9.27935889727637e-102,0.644326770664505,0.75,0.83,1.68151262577545e-97
"Slc50a1",1.38306396903357e-97,0.643704793775955,0.264,0.279,2.50625021828574e-93
"Tma7",6.55914258006201e-106,0.643016615816718,0.758,0.831,1.18858222693304e-101
"Sf3b2",9.53517344147017e-77,0.64060746520868,0.567,0.681,1.72786877932881e-72
"Dnajc8",2.03307266357671e-63,0.640588673959567,0.483,0.611,3.68413097366736e-59
"Ncl",5.41964232983204e-124,0.639929530137092,0.742,0.783,9.82093386588864e-120
"Rpl18",0,0.636014579109758,0.995,0.961,0
"Serbp1",4.25048916549358e-100,0.633016339711376,0.753,0.826,7.70231141679092e-96
"Selplg",5.06269770920694e-101,0.632138977805011,0.667,0.752,9.1741145188539e-97
"Bola3",9.366100120457e-101,0.631399521403489,0.249,0.254,1.69723100282801e-96
"Prmt1",1.35261014189181e-84,0.630242695866723,0.303,0.351,2.45106483812215e-80
"Hnrnpdl",1.20493788068847e-69,0.629872861958076,0.427,0.525,2.18346793359557e-65
"Eif1",0,0.629330104321386,0.996,0.983,0
"Plscr1",2.23347224520383e-92,0.626547107396528,0.259,0.242,4.04727505553386e-88
"Sec11a",6.09588657541695e-64,0.625919212146023,0.433,0.552,1.10463560633131e-59
"Sri",1.93764604362913e-63,0.624949278913531,0.559,0.682,3.51120839566035e-59
"Hnrnpr",2.88460092575832e-75,0.624801358800137,0.302,0.352,5.22718533756664e-71
"Emb",3.27517761420824e-155,0.624684522606966,0.667,0.626,5.93494935470676e-151
"Coro2a",1.28316667696293e-73,0.623589752780908,0.286,0.325,2.32522633532453e-69
"Eif2s3y",1.44719784055373e-95,0.622364487957476,0.282,0.28,2.62246720686741e-91
"Ppdpf",1.54511431619652e-72,0.618795087523759,0.321,0.377,2.79990165237972e-68
"Tmem176b",2.41466388895719e-261,0.618476981715691,0.682,0.472,4.37561243317932e-257
"Dpy30",1.43373797053891e-95,0.617589958375199,0.27,0.289,2.59807657641356e-91
"Trp53",3.67700813956151e-81,0.617263987893237,0.282,0.325,6.66310644969941e-77
"Naca",2.06549822516669e-249,0.616859755485041,0.939,0.906,3.74288933382456e-245
"Ppp1r11",3.12020902822315e-58,0.61370022285501,0.414,0.52,5.65413078004318e-54
"H2-Q6",9.55468840142132e-93,0.6132125006799,0.368,0.357,1.73140508522156e-88
"Ndufv3",1.03473631405874e-52,0.609023580290327,0.487,0.619,1.87504567470584e-48
"Cfdp1",1.38039235968134e-65,0.608554844107149,0.332,0.422,2.50140899497855e-61
"Npm1",1.15607140797434e-158,0.607805653289542,0.875,0.874,2.09491699839029e-154
"Med28",6.93987157734936e-63,0.605960453511887,0.377,0.479,1.25757412853148e-58
"Tmed9",1.04718937269749e-57,0.604780423985102,0.526,0.66,1.89761186226511e-53
