"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Atp13a3",3.61226759337248e-27,0.290865728235825,0.45,0.416,6.02815215981999e-23
"Nfia",2.97612648732891e-26,0.288610178807083,0.368,0.33,4.96655988205448e-22
"Slc38a2",3.21647607661785e-28,0.288327573844595,0.495,0.463,5.36765527665987e-24
"Glul",1.48509182582693e-17,0.28778607300887,0.478,0.47,2.47832123893997e-13
"C6",9.80313588038877e-27,0.286306003981013,0.309,0.252,1.63594731571928e-22
"Irf1",1.56994766078636e-34,0.286068022840528,0.294,0.232,2.61992865632027e-30
"Dcaf11",6.39228222860564e-24,0.285688098444195,0.462,0.449,1.06674405830971e-19
"Alcam",5.19741081840443e-56,0.283722498201264,0.921,0.852,8.67343917375331e-52
"Rbms3",2.27235992820327e-41,0.28347926988952,0.299,0.222,3.79211424818563e-37
"Ing2",1.33497451105562e-30,0.282119029740749,0.354,0.309,2.22780546404961e-26
"Nfix",8.84232408793465e-32,0.281886463969562,0.442,0.391,1.47560704379453e-27
"Tmem163",3.37155269487983e-27,0.281634329937365,0.437,0.407,5.62644713721546e-23
"Zfp36",5.69391227849058e-31,0.280877309090917,0.609,0.565,9.50200081034508e-27
"Napsa",1.17404564543487e-289,0.280645686286242,0.997,0.888,1.95924737310171e-285
"Rab3a",3.00486720955972e-40,0.280625625880791,0.294,0.22,5.01452239931327e-36
"Lcp1",5.30251917175503e-24,0.278724128367664,0.311,0.28,8.8488439938248e-20
"Trib1",7.13973527718132e-24,0.274885677457529,0.437,0.405,1.19147902305602e-19
"Acsl4",8.39993478549887e-32,0.274653167544911,0.708,0.633,1.40178111700405e-27
"BC005537",4.55067146044054e-26,0.272994155856037,0.469,0.437,7.59416053318318e-22
"Phlda1",6.20638402143577e-46,0.272738071396234,0.92,0.837,1.0357213654972e-41
"Crnde",8.73536725777811e-30,0.270847014194487,0.326,0.281,1.45775808797801e-25
"Cyb5b",2.54865079980489e-23,0.270320152711279,0.544,0.523,4.25318845471439e-19
"Ggcx",2.67707342368648e-27,0.269307765259642,0.298,0.268,4.467500129448e-23
"Mtss1",3.08304502606257e-29,0.269112158321603,0.293,0.252,5.14498553949322e-25
"Tmprss4",1.60346797588547e-25,0.268357044057363,0.326,0.292,2.67586735815766e-21
"Gm42418",4.54713370674108e-30,0.267042786608567,0.779,0.753,7.58825672980952e-26
"Bex4",1.42661458664888e-08,0.266550739120337,0.57,0.594,0.000238073442219965
"Mgst1",2.18076626569788e-99,0.266420936945628,0.938,0.809,3.63926274419662e-95
"Cracr2b",1.11991204686159e-25,0.265627383786074,0.369,0.34,1.86890922380262e-21
"Akr1b3",1.74086873117659e-25,0.265157556417149,0.632,0.604,2.9051617385875e-21
"Npc1",1.3363637424828e-24,0.264959001073651,0.437,0.402,2.23012381345529e-20
"Stard3nl",3.00561667566111e-25,0.263572653090388,0.574,0.552,5.01577310834327e-21
"Tmem110",8.01764594180856e-23,0.263429636314389,0.404,0.381,1.33798475476901e-18
"Vimp",7.7903929028402e-33,0.262838842819898,0.79,0.746,1.30006076762597e-28
"Npr1",1.84618609259282e-27,0.261674363925217,0.253,0.217,3.0809153513189e-23
"H6pd",7.93219383083658e-23,0.260491738516873,0.263,0.242,1.32372450649001e-18
"Etnk1",7.60554527105653e-25,0.258626424095356,0.367,0.331,1.26921339483391e-20
"Rmdn2",8.74766265743459e-31,0.258208081565929,0.287,0.238,1.45980994427268e-26
"Ier5",9.71392437203868e-27,0.258089618634002,0.565,0.519,1.62105969920582e-22
"Srebf1",1.38991557801488e-26,0.256387284025784,0.311,0.269,2.31949111659123e-22
"Hnrnph1",7.52906949368975e-23,0.254347014088861,0.546,0.523,1.25645111710694e-18
"Osgin1",1.55900195363096e-21,0.25391726641998,0.383,0.354,2.60166246021934e-17
"Cfap20",4.64148404986171e-22,0.252988876147536,0.483,0.464,7.74570858240923e-18
"Atp6v1b2",5.81581336685876e-18,0.250506545582108,0.516,0.511,9.7054293466139e-14
